Batch ID,Brand,Calculated Weight (Grams),Category,Cost per Gram,Cost per Item,Created On,Current Date,Current Quantity,Days Until Expires,Expiration Date,Initial Quantity,Last Audit Date,Location,Package ID,Price,Price Profile,Product Name,Product Type,Room,SKU,Source License,Strain Name,Supplier Name,Total Cost,Total Price,Unit of Measure,Weight Unit,insert_datetime,img_url,product_description
None,Refine,5.0,Concentrate,None,11.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,25.0,None,Raspberry Cartridge .5g,.5g Cartridge,Grow Facility,p4R7YdLfbz,None,None,Refine,110.0,250.0,Each,None,None,None,None
None,Refine,10.0,Concentrate,None,20.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,50.0,None,REF Do Si Dos Cartridge 1g,Cartridge,Grow Facility,GzuXb3XGvy,None,None,Refine,200.0,500.0,Each,None,None,None,None
None,Refine,10.0,Concentrate,None,20.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,50.0,None,Girl Scout Cookies Cartridge 1g,Cartridge,Grow Facility,K3qcgh7i4d,None,None,Refine,200.0,500.0,Each,None,None,None,None
None,Refine,10.0,Concentrate,None,20.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,50.0,None,REF Gorilla Glue #4 Cartridge 1g,Cartridge,Grow Facility,brb5zgnMqo,None,None,Refine,200.0,500.0,Each,None,None,None,None
None,Refine,10.0,Concentrate,None,19.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,50.0,None,Melon Gum Cartridge 1g,Cartridge,Grow Facility,jrRmT9NZJx,None,None,Refine,190.0,500.0,Each,None,None,None,None
None,Refine,10.0,Concentrate,None,15.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,30.0,None,GMO x I95 Loud Cartridge .5g,Cartridge,Grow Facility,ZFfNtEYnvQ,None,None,Refine,150.0,300.0,Each,None,None,None,None
None,Refine,5.0,Concentrate,None,15.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,30.0,None,Gorilla Glue Loud Cartridge .5g,.5g Cartridge,Grow Facility,4F2SYbuuEi,None,None,Refine,150.0,300.0,Each,None,None,None,None
None,Refine,5.0,Concentrate,None,15.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,30.0,None,Headcracker Loud Cartridge .5g,.5g Cartridge,Grow Facility,nfei6vqTo6,None,None,Refine,150.0,300.0,Each,None,None,None,None
None,Refine,5.0,Concentrate,None,15.0,11/02/2021,11/13/2021,10.0,354.0,11/02/2022,20,None,Maple Valley Pharms,None,30.0,None,The Guice Loud Cartridge .5g,Cartridge,Grow Facility,tDHaWnimdk,None,None,Refine,150.0,300.0,Each,None,None,None,None
None,Glass Jar Company,70.0,Flower - Prepackaged,None,25.9,11/03/2021,11/13/2021,10.0,None,None,12,11/04/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Grow Facility,7NacdqgwBZ,None,Pink Kush,Glass Jar Company LLC,259.0,None,Grams,Quarters,None,None,None
None,Newton\s Nursery,None,Edible,None,10.0,11/10/2021,11/13/2021,10.0,362.0,11/10/2022,10,None,Maple Valley Pharms,None,20.0,None,100mg NN Watermelon Gummies,Gummies,Grow Facility,PbKNwjmRXb,None,None,Edible Vendor,100.0,200.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Newton\s Nursery,None,Edible,None,10.0,11/10/2021,11/13/2021,10.0,362.0,11/10/2022,10,None,Maple Valley Pharms,None,20.0,None,100mg NN Green Apple Gummies,Gummies,Grow Facility,zHK2HDSpQD,None,None,Edible Vendor,100.0,200.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Newton\s Nursery,None,Edible,None,10.0,11/10/2021,11/13/2021,10.0,362.0,11/10/2022,10,None,Maple Valley Pharms,None,20.0,None,100mg NN Grape Gummies,Gummies,Grow Facility,dreCat66tw,None,None,Edible Vendor,100.0,200.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Newton\s Nursery,None,Edible,None,10.0,11/10/2021,11/13/2021,10.0,362.0,11/10/2022,10,None,Maple Valley Pharms,None,20.0,None,100mg NN Fruit Punch Gummies,Gummies,Grow Facility,mjGrrNbPQ7,None,None,Edible Vendor,100.0,200.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Lodestar Cannabis,None,NonEdible,None,25.0,05/13/2021,11/13/2021,10.0,48.0,12/31/2021,21,05/21/2021,Maple Valley Pharms,None,50.0,None,1000mg Lavender Medicated Salve,Topical,Return to Grow,eLnF2zKz93,None,None,Lodestar Cannabis,250.0,500.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,5.5,09/16/2021,11/13/2021,10.0,138.0,03/31/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Blue Raspberry Gummies,Gummies,Sales Floor,y8oZcFuPbz,None,None,Edible Vendor,55.0,150.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Iron Lung,None,Edible,None,5.0,09/21/2021,11/13/2021,10.0,306.0,09/15/2022,22,11/06/2021,Maple Valley Pharms,None,12.0,None,100mg Pear Gummies,Gummies,Sales Floor,KCPuZ7hibK,None,None,Edible Vendor,50.0,120.0,2021-11-18 13:44:27.652893,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,5.5,09/29/2021,11/13/2021,10.0,138.0,03/31/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Orange Creamsicle Gummies,Gummies,Sales Floor,mrSxo4c8qC,None,None,Edible Vendor,55.0,150.0,2021-11-18 13:44:27.653912,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,11/13/2021,10.0,158.0,04/20/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg Pineapple Gummies,Gummies,Sales Floor,jQWKmEBmmx,None,None,Edible Vendor,37.5,150.0,2021-11-18 13:44:27.653912,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,11/13/2021,10.0,79.0,01/31/2022,24,11/06/2021,Maple Valley Pharms,None,15.0,None,100mg Orange Creamsicle Gummies,Gummies,Sales Floor,4LWYQps8JD,None,None,Edible Vendor,37.5,150.0,2021-11-18 13:44:27.653912,None,None,None,None
None,Paul\s Boutique,35.0,Flower - Prepackaged,None,18.55,10/20/2021,11/13/2021,10.0,None,None,50,11/06/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica,Sales Floor,Rd3WvZA8yH,None,Pineapple Cherry,Paul\s Boutique,185.5,None,Grams,Eighths,None,None,None
None,Lodestar Cannabis,35.0,Flower - Prepackaged,None,20.31,10/29/2021,11/13/2021,10.0,None,None,32,11/06/2021,Maple Valley Pharms,None,None,Limited,None,Hybrid,Sales Floor,nG7qXEP68B,None,Gorilla Glue #4,Lodestar Cannabis,203.1,None,Grams,Eighths,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/11/2021,11/13/2021,10.0,158.0,04/20/2022,24,10/11/2021,Maple Valley Pharms,None,15.0,None,100mg Snozzberry Gummies,Gummies,Sales Floor,xHuYJKg3WP,None,None,Edible Vendor,37.5,150.0,2021-11-18 13:44:27.653912,None,None,None,None
None,Refine,5.0,Concentrate,None,11.0,11/09/2021,11/13/2021,10.0,354.0,11/02/2022,10,11/09/2021,Maple Valley Pharms,None,25.0,None,Raspberry Cartridge .5g,.5g Cartridge,Sales Floor,p4R7YdLfbz,None,None,Refine,110.0,250.0,Each,None,None,None,None
None,Refine,5.0,Concentrate,None,15.0,11/09/2021,11/13/2021,10.0,354.0,11/02/2022,10,11/09/2021,Maple Valley Pharms,None,30.0,None,Gorilla Glue Loud Cartridge .5g,.5g Cartridge,Sales Floor,4F2SYbuuEi,None,None,Refine,150.0,300.0,Each,None,None,None,None
None,Prokron,35.0,Flower - Prepackaged,None,12.5,11/09/2021,11/13/2021,10.0,None,None,40,11/09/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Sativa Dominant,Sales Floor,owe5YgE76x,None,Strawberry Apricot,Prokron,125.0,None,Grams,Eighths,None,None,None
None,Refine,10.0,Concentrate,None,20.0,11/12/2021,11/13/2021,10.0,354.0,11/02/2022,10,11/12/2021,Maple Valley Pharms,None,50.0,None,Girl Scout Cookies Cartridge 1g,Cartridge,Sales Floor,K3qcgh7i4d,None,None,Refine,200.0,500.0,Each,None,None,None,None
None,Refine,10.0,Concentrate,None,20.0,11/12/2021,11/13/2021,10.0,354.0,11/02/2022,10,11/12/2021,Maple Valley Pharms,None,50.0,None,REF Do Si Dos Cartridge 1g,Cartridge,Sales Floor,GzuXb3XGvy,None,None,Refine,200.0,500.0,Each,None,None,None,None
None,Maple Valley Pharms,10.0,Concentrate,None,16.0,10/12/2021,11/13/2021,10.0,321.0,09/30/2022,35,11/08/2021,Maple Valley Pharms,None,50.0,None,1000mg Strawberry Banana THC Tincture,Tincture,Sales Floor,jySCBuu9so,None,None,Maple Valley Pharms,160.0,500.0,Each,None,None,None,None
None,Maple Valley Pharms,10.0,Concentrate,None,15.96,10/07/2021,11/13/2021,10.0,306.0,09/15/2022,35,11/08/2021,Maple Valley Pharms,None,50.0,None,1000mg THC Tincture,Tincture,Sales Floor,FpLR9sjdfm,None,None,Maple Valley Pharms,159.6,500.0,Each,None,None,None,None
