Batch ID,Brand,Calculated Weight (Grams),Category,Cost per Gram,Cost per Item,Created On,Current Date,Current Quantity,Days Until Expires,Expiration Date,Initial Quantity,Last Audit Date,Location,Package ID,Price,Price Profile,Product Name,Product Type,Room,SKU,Source License,Strain Name,Supplier Name,Total Cost,Total Price,Unit of Measure,Weight Unit,insert_datetime,img_url,product_description
None,Fort Horne Weed Co,8.0,Concentrate,None,8.0,10/22/2021,10/27/2021,8.0,360.0,10/22/2022,12,10/22/2021,Maple Valley Pharms,None,25.0,None,Lucky Dawg 1g Live Badder,Badder,Sales Floor,vNjmQSjiLb,None,None,Fort Horne Weed Co,64.0,200.0,Each,None,None,None,None
None,Kind Farms,None,Edible,None,12.0,09/24/2021,10/27/2021,8.0,329.0,09/21/2022,24,10/19/2021,Maple Valley Pharms,None,25.0,None,300mg KF Strawberries and Cream Chocolate Bar,300mg Chocolate Bar,Storage Room,zduaNkTwNg,None,None,Edible Vendor,96.0,200.0,None,None,None,None,None
None,Kind Farms,None,Edible,None,12.0,09/24/2021,10/27/2021,8.0,329.0,09/21/2022,24,10/26/2021,Maple Valley Pharms,None,25.0,None,300mg KF Cookies & Cream Chocolate Bar,300mg Chocolate Bar,Storage Room,GXvzxE4Bbe,None,None,Edible Vendor,96.0,200.0,None,None,None,None,None
None,Kind Farms,None,Edible,None,12.0,09/24/2021,10/27/2021,8.0,329.0,09/21/2022,24,10/19/2021,Maple Valley Pharms,None,25.0,None,300mg KF Peanut Butter Chocolate Bar,300mg Chocolate Bar,Storage Room,HzYKWuLsEz,None,None,Edible Vendor,96.0,200.0,None,None,None,None,None
None,Snowblind Cannabis,8.0,Concentrate,None,20.0,09/27/2021,10/27/2021,8.0,202.0,05/17/2022,12,10/26/2021,Maple Valley Pharms,None,35.0,None,Jungle Diamonds 1g Badder,Badder,Storage Room,GTthBeWH2W,None,None,Snowblind Cannabis,160.0,280.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,11.0,10/11/2021,10/27/2021,8.0,116.0,02/20/2022,16,10/11/2021,Maple Valley Pharms,None,40.0,None,500mg RSO Snozzberry Ragnarok,500mg Gummies,Storage Room,WbDaraxYHN,None,None,Edible Vendor,88.0,320.0,None,None,None,None,None
None,Iron Lung,8.0,Concentrate,None,12.5,10/12/2021,10/27/2021,8.0,323.0,09/15/2022,28,10/26/2021,Maple Valley Pharms,None,25.0,None,Second Breakfast 1g Shatter,Shatter,Storage Room,cSDdEM7LXB,None,None,Iron Lung,100.0,200.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,12.0,10/19/2021,10/27/2021,8.0,155.0,03/31/2022,16,10/26/2021,Maple Valley Pharms,None,32.99,None,300mg Signature Combo Pack,300mg Gummies,Storage Room,voqw6jE8Hn,None,None,Edible Vendor,96.0,263.92,None,None,None,None,None
None,We Grow Beans,28.0,Flower - Prepackaged,None,18.86,10/20/2021,10/27/2021,8.0,None,None,40,10/26/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica Dominant,Storage Room,vQcm3gfBQf,None,Wedding Pie,We Grow Beans,150.88,None,Grams,Eighths,None,None,None
None,Warren\s Cannabis Creations,8.0,Concentrate,None,22.0,10/22/2021,10/27/2021,8.0,360.0,10/22/2022,10,10/22/2021,Maple Valley Pharms,None,50.0,None,Passion Fruit Cartridge 1g,Cartridge,Storage Room,dySN9DyfoR,None,None,Warren\s Cannabis Creations,176.0,400.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,11.0,10/18/2021,10/27/2021,9.0,116.0,02/20/2022,16,10/18/2021,Maple Valley Pharms,None,40.0,None,500mg RSO Blue Raspberry Ragnarok,500mg Gummies,279 Drops,g5nvYF6jcm,None,None,Edible Vendor,99.0,360.0,None,None,None,None,None
None,Glass Jar Company,9.0,Flower - Bulk,2.44,None,10/11/2021,10/27/2021,9.0,None,None,450,None,Maple Valley Pharms,None,None,Bronze-Tier Flower,None,Hybrid,Grow Facility,6jhT8P3C7r,None,AK47,Glass Jar Company LLC,21.96,None,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,10.0,09/09/2021,10/27/2021,9.0,116.0,02/20/2022,16,10/20/2021,Maple Valley Pharms,None,40.0,None,500mg Blueberry Lemonade Ragnarok,500mg Gummies,Sales Floor,zjp8k9Wkea,None,None,Edible Vendor,90.0,360.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,8.0,09/09/2021,10/27/2021,9.0,116.0,02/20/2022,30,10/20/2021,Maple Valley Pharms,None,22.5,None,250mg Blueberry Lemonade Berzerker,250mg Gummies,Sales Floor,CuhPw66S5C,None,None,Edible Vendor,72.0,202.5,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,11.0,09/13/2021,10/27/2021,9.0,116.0,02/20/2022,16,10/20/2021,Maple Valley Pharms,None,40.0,None,500mg RSO Watermelon Ragnarok,500mg Gummies,Sales Floor,mSJzEBT8hX,None,None,Edible Vendor,99.0,360.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,7.0,09/13/2021,10/27/2021,9.0,116.0,02/20/2022,30,10/20/2021,Maple Valley Pharms,None,22.5,None,250mg RSO Blue Raspberry Berzerker,250mg Gummies,Sales Floor,t5KrJHT2pn,None,None,Edible Vendor,63.0,202.5,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,4.58,09/16/2021,10/27/2021,9.0,155.0,03/31/2022,24,10/20/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Strawberry Ice Cream Gummies,Gummies,Sales Floor,HKb2mzoguT,None,None,Edible Vendor,41.22,135.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,4.77,09/09/2021,10/27/2021,9.0,116.0,02/20/2022,30,10/20/2021,Maple Valley Pharms,None,22.5,None,250mg Black Cherry Berzerker,250mg Gummies,Sales Floor,XA8sb7adyj,None,None,Edible Vendor,42.93,202.5,None,None,None,None,None
None,Zero Gravity Extracts,None,Edible,None,12.0,09/28/2021,10/27/2021,9.0,329.0,09/21/2022,10,10/20/2021,Maple Valley Pharms,None,25.0,None,300mg Planet Butter Bobblehead Bar,300mg Chocolate Bar,Sales Floor,QGwgc8Ea9w,None,None,Edible Vendor,108.0,225.0,None,None,None,None,None
None,Best Friend Farms,63.0,Flower - Prepackaged,None,39.97,09/24/2021,10/27/2021,9.0,None,None,12,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,None,Sales Floor,CKxQ6e7yWe,None,Picnic,Best Friend Farms,359.73,None,Grams,Quarters,None,None,None
None,Mighty Viking Gummies,None,Edible,None,4.58,10/06/2021,10/27/2021,9.0,175.0,04/20/2022,24,10/20/2021,Maple Valley Pharms,None,15.0,None,100mg Tropical Fruit Punch Gummies,Gummies,Sales Floor,qpuY8xiAje,None,None,Edible Vendor,41.22,135.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,10/27/2021,9.0,175.0,04/20/2022,24,10/20/2021,Maple Valley Pharms,None,15.0,None,100mg Green Apple Gummies,Gummies,Sales Floor,SGahyaFRwM,None,None,Edible Vendor,33.75,135.0,None,None,None,None,None
None,Refine,4.5,Concentrate,None,15.0,10/11/2021,10/27/2021,9.0,323.0,09/15/2022,10,10/20/2021,Maple Valley Pharms,None,30.0,None,Bunny Slope Loud Cartridge .5g,.5g Cartridge,Sales Floor,4nbPWfPur7,None,None,Refine,135.0,270.0,Each,None,None,None,None
None,Earth Keepers,63.0,Flower - Prepackaged,None,28.08,10/07/2021,10/27/2021,9.0,None,None,13,10/20/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Sales Floor,w7S5Fdzj9n,None,Midnight,Earth Keepers,252.72,None,Grams,Quarters,None,None,None
None,Warren\s Cannabis Creations,0.01,Concentrate,None,23.5,10/15/2021,10/27/2021,9.0,353.0,10/15/2022,10,10/20/2021,Maple Valley Pharms,None,50.0,None,Cherry Pie Cartridge 1g,Cartridge,Sales Floor,DWRJq5rDmu,None,None,Warren\s Cannabis Creations,211.5,450.0,Each,None,None,None,None
None,Humble Family Farms,None,NonEdible,None,10.0,10/08/2021,10/27/2021,9.0,344.0,10/06/2022,40,10/21/2021,Maple Valley Pharms,None,20.0,None,Sunset Sherbet Moon Missile,Moon Missile,Sales Floor,7d6TKJJKKN,None,None,Humble Family Farms,90.0,180.0,None,None,None,None,None
None,Zero Gravity Extracts,31.5,Flower - Prepackaged,None,20.31,10/14/2021,10/27/2021,9.0,None,None,50,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Sativa Dominant,Sales Floor,iT8PKuL5q2,None,Wonka Bars,Zero Gravity Extracts,182.79,None,Grams,Eighths,None,None,None
None,We Grow Beans,31.5,Flower - Prepackaged,None,18.86,10/20/2021,10/27/2021,9.0,None,None,40,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica Dominant,Sales Floor,vQcm3gfBQf,None,Wedding Pie,We Grow Beans,169.74,None,Grams,Eighths,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,10/27/2021,9.0,96.0,01/31/2022,24,10/06/2021,Maple Valley Pharms,None,15.0,None,100mg Blue Raspberry Gummies,Gummies,Sales Floor,a4XCaW9wAf,None,None,Edible Vendor,33.75,135.0,None,None,None,None,None
None,Best Friend Farms,None,Accessory,None,12.0,04/15/2021,10/27/2021,9.0,None,None,15,10/26/2021,Maple Valley Pharms,None,20.0,None,Orange BFF Beanie,Beanie,Storage Room,uEdFbRWfnm,None,None,Best Friend Farms,108.0,180.0,None,None,None,None,None
None,Kine Folks,31.5,Flower - Prepackaged,None,14.14,09/23/2021,10/27/2021,9.0,None,None,40,09/23/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Sativa Dominant,Storage Room,JrqTKPwtLF,None,Strawberry Bubba Diesel,Kine Folks,127.26,None,Grams,Eighths,None,None,None
None,Kind Farms,None,Edible,None,12.0,09/24/2021,10/27/2021,9.0,329.0,09/21/2022,24,10/19/2021,Maple Valley Pharms,None,25.0,None,300mg KF Dark Toffee Chocolate Bar,300mg Chocolate Bar,Storage Room,5MEp3JN7Gh,None,None,Edible Vendor,108.0,225.0,None,None,None,None,None
None,Glass Jar Company,31.5,Flower - Prepackaged,None,8.54,10/18/2021,10/27/2021,9.0,None,None,40,10/18/2021,Maple Valley Pharms,None,None,Bronze-Tier Flower,None,Indica Dominant,Storage Room,NYKLwS4G5o,None,Purple Bubba Kush ( outdoor),Glass Jar Company LLC,76.86,None,Grams,Eighths,None,None,None
None,Greenfellas,63.0,Flower - Prepackaged,None,35.73,10/25/2021,10/27/2021,9.0,None,None,16,10/25/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica Dominant,Storage Room,jSdAfjLk2n,None,Purple Punch,Green Fellas,321.57,None,Grams,Quarters,None,None,None
None,Maple Valley Pharms,10.0,Concentrate,None,6.0,10/13/2021,10/27/2021,10.0,351.0,10/13/2022,10,None,Maple Valley Pharms,None,25.0,None,Candy Chrome 1g Moon Rocks,Moon Rocks,Grow Facility,7xGL9PiFsq,None,None,Maple Valley Pharms,60.0,250.0,Each,None,None,None,None
None,Maple Valley Pharms,15.0,Concentrate,None,9.0,10/13/2021,10/27/2021,10.0,351.0,10/13/2022,10,None,Maple Valley Pharms,None,37.5,None,Candy Chrome 1.5g Moon Rocks,1.5g Moon Rocks,Grow Facility,kFS2P5dTCL,None,None,Maple Valley Pharms,90.0,375.0,Each,None,None,None,None
None,Zero Gravity Extracts,None,NonEdible,None,6.0,10/25/2021,10/27/2021,10.0,363.0,10/25/2022,10,None,Maple Valley Pharms,None,12.0,None,Guava Tangie 1g Cone,Pre-Roll,Grow Facility,J7R4JE8HYX,None,None,Zero Gravity Extracts,60.0,120.0,None,None,None,None,None
None,Zero Gravity,None,NonEdible,None,6.0,10/25/2021,10/27/2021,10.0,363.0,10/25/2022,10,None,Maple Valley Pharms,None,12.0,None,Animal Mints 1g Cone,Pre-Roll,Grow Facility,jK2rc2tKoq,None,None,Zero Gravity Extracts,60.0,120.0,None,None,None,None,None
None,Lodestar Cannabis,None,NonEdible,None,25.0,05/13/2021,10/27/2021,10.0,65.0,12/31/2021,21,05/21/2021,Maple Valley Pharms,None,50.0,None,1000mg Lavender Medicated Salve,Topical,Return to Grow,eLnF2zKz93,None,None,Lodestar Cannabis,250.0,500.0,None,None,None,None,None
None,Lodestar Cannabis,None,NonEdible,None,25.0,05/13/2021,10/27/2021,10.0,65.0,12/31/2021,20,10/21/2021,Maple Valley Pharms,None,50.0,None,1000mg Cedar and Bergamot Medicated Salve,Topical,Sales Floor,WdnmYegWDG,None,None,Lodestar Cannabis,250.0,500.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,09/03/2021,10/27/2021,10.0,96.0,01/31/2022,48,10/20/2021,Maple Valley Pharms,None,15.0,None,100mg Ecto Cooler Gummies,Gummies,Sales Floor,LLwqTNSDPh,None,None,Edible Vendor,37.5,150.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,10.0,09/09/2021,10/27/2021,10.0,116.0,02/20/2022,16,10/20/2021,Maple Valley Pharms,None,40.0,None,500mg Snozzberry Ragnarok,500mg Gummies,Sales Floor,r6JFjyCYsL,None,None,Edible Vendor,100.0,400.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,10.0,09/09/2021,10/27/2021,10.0,116.0,02/20/2022,16,10/20/2021,Maple Valley Pharms,None,40.0,None,500mg Watermelon Ragnarok,500mg Gummies,Sales Floor,3t6ygZuLmd,None,None,Edible Vendor,100.0,400.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,7.0,09/09/2021,10/27/2021,10.0,116.0,02/20/2022,30,10/20/2021,Maple Valley Pharms,None,22.5,None,250mg Strawberry Ice Cream Berzerker,250mg Gummies,Sales Floor,DocwEAPqvX,None,None,Edible Vendor,70.0,225.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,5.5,09/16/2021,10/27/2021,10.0,155.0,03/31/2022,24,10/20/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Blue Raspberry Gummies,Gummies,Sales Floor,y8oZcFuPbz,None,None,Edible Vendor,55.0,150.0,None,None,None,None,None
None,Paul\s Boutique,10.0,Concentrate,None,16.0,09/17/2021,10/27/2021,10.0,266.0,07/20/2022,10,10/20/2021,Maple Valley Pharms,None,35.0,None,Brambleberry 1g Sugar Wax,Sugar Wax,Sales Floor,ipwfvo3JWq,None,None,Paul\s Boutique,160.0,350.0,Each,None,None,None,None
None,Snowblind Cannabis,35.0,Flower - Prepackaged,None,15.75,10/07/2021,10/27/2021,10.0,None,None,50,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Hybrid,Sales Floor,3dfLTCwJ4h,None,Orange Velvet Underground (OVU),Snowblind Cannabis,157.5,None,Grams,Eighths,None,None,None
None,Warren\s Cannabis Creations,0.01,Concentrate,None,22.0,10/15/2021,10/27/2021,10.0,353.0,10/15/2022,10,10/20/2021,Maple Valley Pharms,None,50.0,None,Mango Cartridge 1g,Cartridge,Sales Floor,FnbNssMyr8,None,None,Warren\s Cannabis Creations,220.0,500.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,6.0,09/29/2021,10/27/2021,10.0,155.0,03/31/2022,24,10/20/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Key Lime Pie Gummies,Gummies,Sales Floor,pbZqAQkXEf,None,None,Edible Vendor,60.0,150.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,5.5,10/06/2021,10/27/2021,10.0,155.0,03/31/2022,24,10/06/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Ecto Cooler Gummies,Gummies,Sales Floor,LNM6bfwp8L,None,None,Edible Vendor,55.0,150.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,10/27/2021,10.0,175.0,04/20/2022,24,10/06/2021,Maple Valley Pharms,None,15.0,None,100mg Strawberry Ice Cream Gummies,Gummies,Sales Floor,W46HbG2qhn,None,None,Edible Vendor,37.5,150.0,None,None,None,None,None
None,Best Friend Farms,70.0,Flower - Prepackaged,None,39.97,10/20/2021,10/27/2021,10.0,None,None,12,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Sativa Dominant,Sales Floor,QpTRf3NGf7,None,Snow Drift,Best Friend Farms,399.7,None,Grams,Quarters,None,None,None
None,Best Friend Farms,35.0,Flower - Prepackaged,None,19.98,10/20/2021,10/27/2021,10.0,None,None,40,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Sativa Dominant,Sales Floor,FhCpjbcgmv,None,Snow Drift,Best Friend Farms,199.8,None,Grams,Eighths,None,None,None
None,Maple Valley Pharms,10.0,Concentrate,None,16.0,10/12/2021,10/27/2021,10.0,338.0,09/30/2022,35,10/19/2021,Maple Valley Pharms,None,50.0,None,1000mg Strawberry Banana THC Tincture,Tincture,Sales Floor,jySCBuu9so,None,None,Maple Valley Pharms,160.0,500.0,Each,None,None,None,None
None,Warren\s Cannabis Creations,0.01,Concentrate,None,22.0,10/22/2021,10/27/2021,10.0,360.0,10/22/2022,10,10/22/2021,Maple Valley Pharms,None,50.0,None,Strawberry Cough Cartridge 1g,Cartridge,Sales Floor,sHBNXEWxFX,None,None,Warren\s Cannabis Creations,220.0,500.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,09/16/2021,10/27/2021,10.0,-37.0,09/20/2021,25,10/26/2021,Maple Valley Pharms,None,12.0,None,100mg CBD Combo Pack Gummies,CBD Gummies,Storage Room,xYyZZhFmum,None,None,Edible Vendor,37.5,120.0,None,None,None,None,None
None,Lodestar Cannabis,10.0,Concentrate,None,42.0,09/17/2021,10/27/2021,10.0,297.0,08/20/2022,10,10/26/2021,Maple Valley Pharms,None,75.0,None,Banana Cream 1g Hash Rosin,Rosin,Storage Room,kFgYHqGgjW,None,None,Lodestar Cannabis,420.0,750.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,5.5,09/29/2021,10/27/2021,10.0,155.0,03/31/2022,24,10/26/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Bubble Gummies,Gummies,Storage Room,oji2DtB45X,None,None,Edible Vendor,55.0,150.0,None,None,None,None,None
None,Iron Lung,None,NonEdible,None,6.0,09/21/2021,10/27/2021,10.0,323.0,09/15/2022,50,09/26/2021,Maple Valley Pharms,None,12.0,None,Sour Diesel BX 1g Cone,Pre-Roll,Storage Room,xYHKXkjRuh,None,None,Iron Lung,60.0,120.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,10/27/2021,10.0,96.0,01/31/2022,24,10/06/2021,Maple Valley Pharms,None,15.0,None,100mg Orange Creamsicle Gummies,Gummies,Storage Room,4LWYQps8JD,None,None,Edible Vendor,37.5,150.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,4.58,10/06/2021,10/27/2021,10.0,175.0,04/20/2022,24,10/06/2021,Maple Valley Pharms,None,15.0,None,100mg Tropical Fruit Punch Gummies,Gummies,Storage Room,qpuY8xiAje,None,None,Edible Vendor,45.8,150.0,None,None,None,None,None
None,Snowblind Cannabis,5.0,Concentrate,None,15.0,10/06/2021,10/27/2021,10.0,316.0,09/08/2022,10,10/17/2021,Maple Valley Pharms,None,35.0,None,Jungle Diamonds .5g Live Rosin,.5g Rosin,Storage Room,XL6n66sCHf,None,None,Snowblind Cannabis,150.0,350.0,Each,None,None,None,None
None,Warren\s Cannabis Creations,None,Edible,None,6.0,10/22/2021,10/27/2021,10.0,360.0,10/22/2022,10,10/22/2021,Maple Valley Pharms,None,13.0,None,100mg Chocolate Truffle Chocolate Bar,Chocolate Bar,Storage Room,FEaja8o5xB,None,None,Edible Vendor,60.0,130.0,None,None,None,None,None
None,Warren\s Cannabis Creations,0.01,Concentrate,None,22.59,10/22/2021,10/27/2021,10.0,360.0,10/22/2022,10,10/22/2021,Maple Valley Pharms,None,50.0,None,Blue Dream Cartridge 1g,Cartridge,Storage Room,wuNaSwgHbH,None,None,Warren\s Cannabis Creations,225.9,500.0,Each,None,None,None,None
None,Paul\s Boutique,11.0,Concentrate,None,16.0,07/20/2021,10/27/2021,11.0,266.0,07/20/2022,56,09/01/2021,Maple Valley Pharms,None,35.0,None,Garlic Cookies 1g Sugar Wax,Sugar Wax,Grow Facility,K6udufyRxo,None,None,Paul\s Boutique,176.0,385.0,Each,None,None,None,None
None,Dr. Dabber,None,Accessory,None,17.95,06/21/2021,10/27/2021,11.0,None,None,15,09/17/2021,Maple Valley Pharms,None,34.95,None,Robust Blend CBD .5g Cartridge,.5g CBD Cartridge,Return to Grow,pHEDyrAwJY,None,None,Dr. Dabber,197.45,384.45,None,None,None,None,None
None,Lodestar Cannabis,None,NonEdible,None,25.0,05/13/2021,10/27/2021,11.0,65.0,12/31/2021,20,05/21/2021,Maple Valley Pharms,None,50.0,None,1000mg Cedar and Bergamot Medicated Salve,Topical,Return to Grow,WdnmYegWDG,None,None,Lodestar Cannabis,275.0,550.0,None,None,None,None,None
None,LifePatent,None,Accessory,None,40.0,01/26/2021,10/27/2021,11.0,None,None,94,10/21/2021,Maple Valley Pharms,None,75.0,None,1800mg LP CBD/A Tincture,1800mg CBD/A Tincture,Sales Floor,aA8EWDNiGt,None,None,LifePatent,440.0,825.0,None,None,None,None,None
None,Marijuana Packaging,None,Accessory,None,4.32,10/04/2021,10/27/2021,11.0,None,None,50,10/21/2021,Maple Valley Pharms,None,15.0,None,C Cell Pen Battery with USB Charger,Battery,Sales Floor,\71528671,None,None,Marijuana Packaging,47.52,165.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,03/01/2021,10/27/2021,11.0,-37.0,09/20/2021,113,10/20/2021,Maple Valley Pharms,None,12.0,None,100mg CBD Combo Pack Gummies,CBD Gummies,Sales Floor,xYyZZhFmum,None,None,Edible Vendor,41.25,132.0,None,None,None,None,None
None,Refine,11.0,Concentrate,None,20.0,06/30/2021,10/27/2021,11.0,246.0,06/30/2022,28,10/20/2021,Maple Valley Pharms,None,50.0,None,Banana Cartridge 1g,Cartridge,Sales Floor,32DiDPKsQi,None,None,Refine,220.0,550.0,Each,None,None,None,None
None,Refine,11.0,Concentrate,None,20.0,06/30/2021,10/27/2021,11.0,246.0,06/30/2022,22,10/20/2021,Maple Valley Pharms,None,50.0,None,Mango Kush Cartridge 1g,Cartridge,Sales Floor,QzaC6fetGb,None,None,Refine,220.0,550.0,Each,None,None,None,None
None,Zero Gravity,None,NonEdible,None,6.0,07/22/2021,10/27/2021,11.0,268.0,07/22/2022,100,10/20/2021,Maple Valley Pharms,None,12.0,None,Animal Mints 1g Cone,Pre-Roll,Sales Floor,6i5DKz2Xnn,None,None,Zero Gravity Extracts,66.0,132.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,10.0,09/09/2021,10/27/2021,11.0,116.0,02/20/2022,16,10/20/2021,Maple Valley Pharms,None,40.0,None,500mg Strawberry Ice Cream Ragnarok,500mg Gummies,Sales Floor,GsqJCKxwaj,None,None,Edible Vendor,110.0,440.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,11.0,09/13/2021,10/27/2021,11.0,116.0,02/20/2022,16,10/20/2021,Maple Valley Pharms,None,40.0,None,500mg RSO Strawberry Ice Cream Ragnorok,500mg Gummies,Sales Floor,igxF5g3wXz,None,None,Edible Vendor,121.0,440.0,None,None,None,None,None
None,Blue Sky,11.0,Concentrate,None,20.0,11/18/2020,10/27/2021,11.0,118.0,02/22/2022,50,10/20/2021,Maple Valley Pharms,None,32.0,None,Strawberry Angel Food 1g RSO,RSO,Sales Floor,DyJuQr5Htz,None,Strawberry Angel Food,Blue Sky,220.0,352.0,Each,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,7.0,09/29/2021,10/27/2021,11.0,155.0,03/31/2022,24,10/20/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Black Cherry Gummies,Gummies,Sales Floor,E83zadZQya,None,None,Edible Vendor,77.0,165.0,None,None,None,None,None
None,Glass Jar Company,38.5,Flower - Prepackaged,None,15.0,09/24/2021,10/27/2021,11.0,None,None,40,10/20/2021,Maple Valley Pharms,None,None,Silver-Tier Flower,None,Hybrid,Sales Floor,JDNxDL4Kjy,None,Cherry Bomb,Glass Jar Company LLC,165.0,None,Grams,Eighths,None,None,None
None,Maple Valley Pharms,None,Edible,None,1.3,06/18/2021,10/27/2021,11.0,234.0,06/18/2022,47,10/20/2021,Maple Valley Pharms,None,3.5,None,30mg Grape CBD Lollipop,30mg CBD Lollipop,Sales Floor,WpwYfYMjdK,None,None,Edible Vendor,14.3,38.5,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,10/27/2021,11.0,96.0,01/31/2022,24,10/20/2021,Maple Valley Pharms,None,15.0,None,100mg Orange Creamsicle Gummies,Gummies,Sales Floor,4LWYQps8JD,None,None,Edible Vendor,41.25,165.0,None,None,None,None,None
None,Black Tie Cannabis,None,Edible,None,6.0,10/11/2021,10/27/2021,11.0,367.0,10/29/2022,36,10/20/2021,Maple Valley Pharms,None,12.0,None,100mg Raspberry Lemonade,Liquid Edible,Sales Floor,MyJysoSfmw,None,None,Edible Vendor,66.0,132.0,None,None,None,None,None
None,Paul\s Boutique,38.5,Flower - Prepackaged,None,18.55,10/08/2021,10/27/2021,11.0,None,None,40,10/20/2021,Maple Valley Pharms,None,None,Gold-Tier Flower,None,Indica,Sales Floor,nwXRkfxC3S,None,Grapeology,Paul\s Boutique,204.05,None,Grams,Eighths,None,None,None
None,Warren\s Cannabis Creations,None,Edible,None,4.0,10/15/2021,10/27/2021,11.0,353.0,10/15/2022,25,10/20/2021,Maple Valley Pharms,None,8.5,None,100mg Grape Lollipop,Lollipop,Sales Floor,fqbrtpAeLZ,None,None,Edible Vendor,44.0,93.5,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,3.75,10/06/2021,10/27/2021,11.0,175.0,04/20/2022,24,10/06/2021,Maple Valley Pharms,None,15.0,None,100mg Mango Gummies,Gummies,Sales Floor,bGQnGQTMp5,None,None,Edible Vendor,41.25,165.0,None,None,None,None,None
None,Mighty Viking Gummies,None,Edible,None,6.0,09/29/2021,10/27/2021,11.0,155.0,03/31/2022,24,10/05/2021,Maple Valley Pharms,None,15.0,None,100mg RSO Blueberry Lemonade Gummies,Gummies,Sales Floor,YgNkPbj37y,None,None,Edible Vendor,66.0,165.0,None,None,None,None,None
None,Glass Jar Company,77.0,Flower - Prepackaged,None,17.08,10/18/2021,10/27/2021,11.0,None,None,12,10/18/2021,Maple Valley Pharms,None,None,Bronze-Tier Flower,None,Hybrid,Sales Floor,mBM65bNEuw,None,Blueberry x White Widow,Glass Jar Company LLC,187.88,None,Grams,Quarters,None,None,None
None,Glass Jar Company,38.5,Flower - Prepackaged,None,8.54,10/18/2021,10/27/2021,11.0,None,None,40,10/18/2021,Maple Valley Pharms,None,None,Bronze-Tier Flower,None,Hybrid,Sales Floor,ixwkatguYR,None,Blueberry x White Widow,Glass Jar Company LLC,93.94,None,Grams,Eighths,None,None,None
None,Warren\s Cannabis Creations,None,Edible,None,5.5,10/22/2021,10/27/2021,11.0,360.0,10/22/2022,100,10/22/2021,Maple Valley Pharms,None,10.0,None,100mg Caramel Chew,Caramel,Sales Floor,CMXpXzv6Ph,None,None,Edible Vendor,60.5,110.0,None,None,None,None,None
